posicao,codigo_ibge,municipio,unidade_federativa,populacao,is_capital
1,3550308,São Paulo,São Paulo,12252023,TRUE
2,3304557,Rio de Janeiro,Rio de Janeiro,6718903,TRUE
3,5300108,Brasília,Distrito Federal,3015268,TRUE
4,2927408,Salvador,Bahia,2872347,TRUE
5,2304400,Fortaleza,Ceará,2669342,TRUE
6,3106200,Belo Horizonte,Minas Gerais,2512070,TRUE
7,1302603,Manaus,Amazonas,2182763,TRUE
8,4106902,Curitiba,Paraná,1933105,TRUE
9,2611606,Recife,Pernambuco,1645727,TRUE
10,5208707,Goiânia,Goiás,1516113,TRUE
11,1501402,Belém,Pará,1492745,TRUE
12,4314902,Porto Alegre,Rio Grande do Sul,1483771,TRUE
13,3518800,Guarulhos,São Paulo,1379182,FALSE
14,3509502,Campinas,São Paulo,1204073,FALSE
15,2111300,São Luís,Maranhão,1101884,TRUE
16,3304904,São Gonçalo,Rio de Janeiro,1084839,FALSE
17,2704302,Maceió,Alagoas,1018948,TRUE
18,3301702,Duque de Caxias,Rio de Janeiro,919596,FALSE
19,5002704,Campo Grande,Mato Grosso do Sul,895982,TRUE
20,2408102,Natal,Rio Grande do Norte,884122,TRUE
21,2211001,Teresina,Piauí,864845,TRUE
22,3548708,São Bernardo do Campo,São Paulo,838936,FALSE
23,3303500,Nova Iguaçu,Rio de Janeiro,821128,FALSE
24,2507507,João Pessoa,Paraíba,809015,TRUE
25,3549904,São José dos Campos,São Paulo,721944,FALSE
26,3547809,Santo André,São Paulo,718773,FALSE
27,3543402,Ribeirão Preto,São Paulo,703293,FALSE
28,2607901,Jaboatão dos Guararapes,Pernambuco,702298,FALSE
29,3534401,Osasco,São Paulo,698418,FALSE
30,3170206,Uberlândia,Minas Gerais,691305,FALSE
31,3552205,Sorocaba,São Paulo,679378,FALSE
32,3118601,Contagem,Minas Gerais,663855,FALSE
33,2800308,Aracaju,Sergipe,657013,TRUE
34,2910800,Feira de Santana,Bahia,614872,FALSE
35,5103403,Cuiabá,Mato Grosso,612547,TRUE
36,4209102,Joinville,Santa Catarina,590466,FALSE
37,5201405,Aparecida de Goiânia,Goiás,578179,FALSE
38,4113700,Londrina,Paraná,569733,FALSE
39,3136702,Juiz de Fora,Minas Gerais,568873,FALSE
40,1500800,Ananindeua,Pará,530598,FALSE
41,1100205,Porto Velho,Rondônia,529544,TRUE
42,3205002,Serra,Espírito Santo,517510,FALSE
43,3303302,Niterói,Rio de Janeiro,513584,FALSE
44,3300456,Belford Roxo,Rio de Janeiro,510906,FALSE
45,4305108,Caxias do Sul,Rio Grande do Sul,510906,FALSE
46,3301009,Campos dos Goytacazes,Rio de Janeiro,507548,FALSE
47,1600303,Macapá,Amapá,503327,TRUE
48,4205407,Florianópolis,Santa Catarina,500973,TRUE
49,3205200,Vila Velha,Espírito Santo,493838,FALSE
50,3529401,Mauá,São Paulo,472912,FALSE
51,3305109,São João de Meriti,Rio de Janeiro,472406,FALSE
52,3549805,São José do Rio Preto,São Paulo,460671,FALSE
53,3530607,Mogi das Cruzes,São Paulo,445842,FALSE
54,3106705,Betim,Minas Gerais,439340,FALSE
55,3548500,Santos,São Paulo,433311,FALSE
56,3513801,Diadema,São Paulo,423884,FALSE
57,4115200,Maringá,Paraná,423666,FALSE
58,3525904,Jundiaí,São Paulo,418962,FALSE
59,2504009,Campina Grande,Paraíba,409731,FALSE
60,3143302,Montes Claros,Minas Gerais,409341,FALSE
61,1200401,Rio Branco,Acre,407319,TRUE
62,3538709,Piracicaba,São Paulo,404142,FALSE
63,3510609,Carapicuíba,São Paulo,400927,FALSE
64,1400100,Boa Vista,Roraima,399213,TRUE
65,2609600,Olinda,Pernambuco,392482,FALSE
66,5201108,Anápolis,Goiás,386923,FALSE
67,3201308,Cariacica,Espírito Santo,381285,FALSE
68,3506003,Bauru,São Paulo,376818,FALSE
69,3523107,Itaquaquecetuba,São Paulo,370821,FALSE
70,3551009,São Vicente,São Paulo,365798,FALSE
71,3205309,Vitória,Espírito Santo,362097,TRUE
72,2303709,Caucaia,Ceará,361400,FALSE
73,2604106,Caruaru,Pernambuco,361118,FALSE
74,4202404,Blumenau,Santa Catarina,357199,FALSE
75,3516200,Franca,São Paulo,353187,FALSE
76,4119905,Ponta Grossa,Paraná,351736,FALSE
77,2611101,Petrolina,Pernambuco,349145,FALSE
78,4304606,Canoas,Rio Grande do Sul,346616,FALSE
79,4314407,Pelotas,Rio Grande do Sul,342405,FALSE
80,2933307,Vitória da Conquista,Bahia,341597,FALSE
81,3154606,Ribeirão das Neves,Minas Gerais,334858,FALSE
